Platform,Day of the Week,Date,Post type,Impressions,Likes,Shares,Comments,Hashtag,Hastages category,Number of Hastage,
Linkedin,2,18 November 2025,image,230,7,0,0,#Graphura #EthnicFashion #BrandIdentity #FashionMarketing #CreativeAgency #DigitalBranding #ContentStrategy #FashionBusiness #EthnicWear #BrandGrowth #DesignAgency #SocialMediaBranding,Business & Marketing,12,
Linkedin,1,17 November 2025,image,275,11,0,0,#GraphuraIndia #Jewellery #CreativeDesign #BrandingAgency #VisualExcellence #LuxuryVisuals #DesignStudio #DigitalCreatives,Business & Marketing,8,
Linkedin,7,16 November 2025,image,227,11,0,0,#ContentStrategy #DigitalMarketing #BrandGrowth #SocialMediaTips #MarketingEssentials #Graphura #contentmarketingagency,Business & Marketing,7,
Linkedin,5,14 November 2025,image,312,11,0,0,"#HappyChildrensDay #CreativeMindset #ThinkLikeAChild
#CreativityUnlocked #freshIdeas #GraphuraInternship #YouthEnergy
#ExploreWithGraphura #SkillUpWithGraphura",Environment & Sustainability,7,
Linkedin,4,11 December 2025,image,277,10,0,0,#Graphura #VideoEditing #CreativeExperts #DigitalStorytelling #ContentCreation #VideoVisionaries,Business & Marketing,6,
Linkedin,2,11 November 2025,image,239,8,0,0,#Graphura #SkinCareEssentials #GlowWithGraphura #BoldSkinCare #RadiantSkin #DesignLeadBeauty,Business & Marketing,6,
Linkedin,6,11 October 2025,image,203,11,0,0,"#Graphura #DesignYourBrand #CreativeDesigns #LogoDesign #PosterDesign #FlyerDesign #BusinessBranding

",Business & Marketing,7,
Linkedin,1,11 August 2025,image,272,14,0,0,#Graphura #DigitalMarketing #SEO #KeywordsMatter #BrandVisibility #OnlineGrowth,Business & Marketing,6,
Linkedin,5,11 July 2025,image,300,9,0,0,NA,NA ,0,
Linkedin,3,11 June 2025,image,271,14,0,0,#Graphura #WebsiteDesign #WebDevelopment #DigitalSolutions #BusinessGrowth #BrandIdentity #CreativeDesign #ProfessionalWebsites ,Business & Marketing,9,
Linkedin,7,11 May 2025,image,358,21,0,0,#HappyKartikPurnima #Graphura #DesignForGrowth #CreativeSolutions #FestivalOfLight #CreateBold #DesignLoud,Business & Marketing,7,
Linkedin,5,11 April 2025,image,368,14,0,0,#CafeMarketing #SocialMediaGrowth #BrewYourBrand #CafeBusiness #CoffeeLovers #BrandingStrategy #DigitalMarketing #CafeGoals #SocialMediaStrategy #GrowWithGraphura ,Business & Marketing,11,
